rodzaj_gleby	pora_roku	pora_dnia	nawozi
grass	wiosna	rano	tak
grass	lato	poludnie	nie
grass	jesien	rano	tak
grass	lato	wieczor	tak
grass	zima	rano	nie
grass	jesien	wieczor	tak
grass	lato	poludnie	nie
grass	lato	rano	tak
grass	jesien	wieczor	tak
grass	jesien	popoludnie	nie
weed	lato	rano	nie
weed	wiosna	poludnie	nie
weed	jesien	wieczor	nie
weed	zima	popoludnie	nie
weed	wiosna	wieczor	nie
ground	lato	wieczor	tak
ground	jesien	rano	tak
ground	zima	wieczor	nie
ground	wiosna	rano	tak
ground	zima	rano	nie
ground	zima	popoludnie	nie
ground	lato	poludnie	nie
weed	jesien	rano	nie
ground	lato	rano	tak
grass	wiosna	wieczor	tak
grass	zima	wieczor	nie
ground	lato	popoludnie	nie
grass	jesien	poludnie	nie
weed	lato	wieczor	nie
ground	wiosna	wieczor	tak
ground	jesien	wieczor	tak
weed	wiosna	rano	nie
grass	jesien	wieczor	tak

